EmployeeID,Age,Gender,Department,JobRole,YearsAtCompany,MonthlyIncome,DistanceFromHome,NumCompaniesWorked,OverTime,TrainingTimesLastYear,WorkLifeBalance,JobSatisfaction,EnvironmentSatisfaction,RelationshipSatisfaction,JobInvolvement,PerformanceRating,YearsSinceLastPromotion,YearsWithCurrManager,BusinessTravel,Attrition
EMP00060,33,Female,Sales,Laboratory Technician,16,2717,5,6,Yes,5,1,4,4,3,1,4,7,1,Travel_Frequently,0
EMP00061,60,Female,Research & Development,Sales Executive,3,16695,28,6,No,5,1,4,4,1,1,4,4,2,Non-Travel,0
EMP00062,58,Female,Research & Development,Human Resources,18,15867,17,9,No,0,1,2,4,4,2,4,10,14,Travel_Rarely,0
EMP00063,24,Female,Research & Development,Manager,16,13265,5,7,Yes,0,1,1,4,1,3,3,1,17,Travel_Frequently,0
EMP00064,25,Female,Research & Development,Sales Representative,3,10425,20,4,No,0,2,2,4,2,1,4,11,3,Travel_Rarely,0
EMP00065,45,Male,Human Resources,Healthcare Representative,1,6911,9,4,No,2,1,2,2,4,1,3,0,2,Travel_Frequently,0
EMP00066,42,Female,Research & Development,Manager,10,13125,10,5,Yes,0,2,2,1,1,3,4,13,15,Travel_Frequently,0
EMP00067,35,Male,Human Resources,Research Scientist,22,15087,4,4,No,4,3,1,2,4,1,3,6,9,Non-Travel,0
EMP00068,34,Female,Research & Development,Research Scientist,0,17298,24,6,Yes,1,4,2,3,1,4,3,13,0,Travel_Rarely,0
EMP00069,38,Female,Human Resources,Sales Representative,40,14686,10,1,No,0,3,2,4,3,1,4,3,7,Travel_Rarely,0
EMP00070,51,Male,Research & Development,Healthcare Representative,21,8260,11,2,Yes,4,1,2,3,3,2,3,3,4,Travel_Rarely,0
EMP00071,56,Male,Human Resources,Research Scientist,11,17191,15,9,No,5,3,3,2,4,1,4,14,9,Travel_Rarely,0
EMP00072,40,Male,Research & Development,Research Director,28,2232,2,5,No,0,1,4,4,1,4,3,10,15,Travel_Frequently,0
EMP00073,21,Female,Sales,Manager,5,17533,21,2,Yes,1,4,4,2,3,3,4,12,13,Travel_Rarely,0
EMP00074,21,Female,Sales,Manager,6,19283,22,6,No,2,2,3,1,2,3,4,12,4,Travel_Frequently,0
EMP00075,23,Female,Human Resources,Sales Representative,21,5187,22,8,Yes,5,4,3,1,3,3,3,6,10,Travel_Rarely,0
EMP00076,26,Male,Sales,Healthcare Representative,6,17635,25,8,Yes,5,3,2,4,2,2,3,5,14,Non-Travel,0
EMP00077,33,Female,Human Resources,Healthcare Representative,28,8667,18,3,No,6,4,2,3,4,4,4,12,16,Travel_Frequently,0
EMP00078,28,Male,Human Resources,Laboratory Technician,16,2709,21,7,No,4,1,1,3,1,2,4,14,16,Non-Travel,0
EMP00079,23,Male,Research & Development,Manager,1,14595,2,6,No,1,4,1,3,2,1,4,3,10,Non-Travel,0
EMP00080,36,Female,Human Resources,Laboratory Technician,30,15699,20,0,Yes,0,3,2,2,4,1,4,7,9,Non-Travel,0
EMP00081,44,Female,Sales,Research Scientist,31,18565,1,8,Yes,5,2,3,4,1,3,3,13,5,Travel_Frequently,0
EMP00082,51,Female,Sales,Human Resources,34,17624,26,8,Yes,3,4,1,4,3,3,3,11,2,Travel_Rarely,0
EMP00083,60,Male,Human Resources,Manager,8,2452,12,8,No,6,2,4,4,2,2,3,14,1,Travel_Rarely,0
EMP00084,30,Male,Research & Development,Healthcare Representative,32,14049,27,8,No,2,1,2,3,3,1,4,8,3,Travel_Rarely,0
EMP00085,43,Female,Research & Development,Manager,11,17259,23,7,No,6,3,1,4,1,4,3,9,10,Non-Travel,0
EMP00086,60,Female,Research & Development,Research Director,38,14962,6,7,No,3,1,3,4,3,1,3,12,11,Travel_Frequently,0
EMP00087,28,Male,Sales,Research Director,2,5136,3,3,No,2,4,1,2,4,3,4,14,2,Travel_Frequently,0
EMP00088,41,Female,Research & Development,Healthcare Representative,15,4717,1,2,No,4,4,1,3,3,4,3,9,15,Non-Travel,0
EMP00089,22,Female,Sales,Research Director,5,11472,22,5,Yes,4,3,3,2,2,3,3,3,6,Non-Travel,0
EMP00090,49,Male,Research & Development,Human Resources,36,13088,15,8,Yes,4,1,1,3,4,4,4,13,2,Non-Travel,0
EMP00091,59,Male,Research & Development,Research Director,33,12289,5,8,Yes,6,2,4,1,1,2,4,5,5,Travel_Rarely,0
EMP00092,32,Female,Human Resources,Healthcare Representative,5,9211,7,8,No,1,3,1,2,2,2,4,1,0,Non-Travel,0
EMP00093,59,Female,Human Resources,Manufacturing Director,36,14650,20,0,No,5,3,3,4,2,4,4,14,2,Travel_Frequently,0
EMP00094,46,Female,Research & Development,Research Director,13,12147,20,2,No,6,3,3,4,2,3,3,10,7,Travel_Rarely,0
EMP00095,46,Male,Sales,Research Scientist,3,10509,13,9,No,1,2,3,3,2,2,4,14,15,Travel_Rarely,0
EMP00096,23,Female,Human Resources,Research Director,15,8049,19,5,Yes,0,3,4,4,3,1,3,13,4,Travel_Rarely,0
EMP00097,43,Female,Sales,Sales Representative,3,19686,18,3,No,4,3,1,4,4,3,3,4,3,Travel_Rarely,0
EMP00098,39,Female,Sales,Manufacturing Director,38,17682,13,8,Yes,0,1,2,3,4,4,3,4,10,Travel_Frequently,0
EMP00099,43,Female,Human Resources,Manager,32,17702,18,7,No,3,1,3,3,1,4,4,0,15,Travel_Rarely,0
EMP00100,55,Male,Human Resources,Sales Executive,37,16743,6,8,No,1,2,1,1,2,1,4,10,13,Non-Travel,0
EMP00101,31,Female,Human Resources,Research Director,3,5524,17,3,No,5,4,4,3,2,4,4,11,8,Travel_Frequently,0
EMP00102,33,Female,Human Resources,Healthcare Representative,14,10752,25,4,Yes,5,4,3,4,3,3,4,3,17,Travel_Rarely,0
EMP00103,43,Female,Sales,Healthcare Representative,2,10425,23,1,No,3,3,4,2,2,3,4,4,3,Travel_Frequently,0
EMP00104,33,Male,Sales,Human Resources,14,8629,2,1,No,2,4,1,2,1,2,4,15,15,Travel_Frequently,0
EMP00105,36,Female,Research & Development,Sales Executive,5,19813,8,8,Yes,1,4,2,1,4,4,3,9,1,Non-Travel,0
EMP00106,56,Male,Research & Development,Healthcare Representative,29,18802,17,7,Yes,6,4,3,2,1,3,3,14,8,Travel_Frequently,0
EMP00107,39,Female,Human Resources,Manufacturing Director,11,14287,27,6,No,0,4,1,2,2,4,4,7,0,Travel_Rarely,0
EMP00108,46,Female,Research & Development,Healthcare Representative,37,19772,1,4,No,5,2,1,1,4,3,3,12,16,Travel_Frequently,0
EMP00109,25,Female,Research & Development,Manufacturing Director,14,5376,16,2,No,5,3,4,4,2,2,3,14,16,Travel_Frequently,0
EMP00110,54,Male,Sales,Human Resources,32,7624,19,8,Yes,1,3,4,1,2,4,3,14,1,Travel_Rarely,0
EMP00111,44,Female,Human Resources,Sales Executive,35,16151,22,4,Yes,3,3,1,2,1,1,4,11,2,Travel_Frequently,0
EMP00112,22,Female,Sales,Healthcare Representative,26,6897,25,2,No,2,4,4,4,4,1,3,11,3,Non-Travel,0
EMP00113,43,Male,Human Resources,Manufacturing Director,0,1744,10,7,No,4,4,2,2,4,3,3,8,6,Travel_Frequently,0
EMP00114,20,Female,Human Resources,Sales Executive,15,7752,3,1,Yes,3,1,2,1,4,4,3,6,1,Non-Travel,0
EMP00115,36,Male,Human Resources,Manager,36,11507,8,4,Yes,5,2,4,3,3,1,3,13,17,Travel_Rarely,0
EMP00116,40,Female,Human Resources,Manager,26,14377,5,4,No,1,4,2,2,3,2,4,1,17,Travel_Rarely,0
EMP00117,53,Male,Research & Development,Manufacturing Director,16,7662,11,1,No,6,3,1,2,1,3,4,1,2,Non-Travel,0
EMP00118,55,Male,Research & Development,Manufacturing Director,21,10934,1,3,Yes,5,1,4,2,2,4,3,10,9,Travel_Rarely,0
EMP00119,59,Female,Research & Development,Healthcare Representative,23,17803,29,7,No,0,4,3,2,3,3,4,1,7,Travel_Frequently,0
EMP00120,34,Female,Research & Development,Laboratory Technician,12,11809,8,6,Yes,3,3,3,4,4,4,3,11,5,Non-Travel,0
EMP00121,49,Male,Human Resources,Sales Executive,33,2108,27,1,Yes,6,1,4,2,2,1,3,0,6,Travel_Frequently,0
EMP00122,21,Female,Human Resources,Research Director,1,1216,18,8,No,0,1,3,3,1,4,3,3,3,Travel_Frequently,0
EMP00123,30,Female,Research & Development,Healthcare Representative,25,3589,12,6,No,4,2,2,3,1,1,3,12,12,Travel_Rarely,0
EMP00124,21,Male,Human Resources,Laboratory Technician,5,17379,28,6,No,4,1,1,2,2,4,4,1,2,Travel_Frequently,0
EMP00125,52,Male,Sales,Manager,1,7788,19,2,No,0,3,2,2,4,3,4,4,2,Travel_Frequently,0
EMP00126,40,Male,Sales,Sales Representative,14,3490,11,9,No,6,3,1,3,4,4,3,11,17,Travel_Rarely,0
EMP00127,55,Female,Sales,Healthcare Representative,15,3408,3,4,Yes,3,2,4,3,3,1,3,0,9,Travel_Rarely,0
EMP00128,35,Male,Sales,Research Scientist,11,15122,15,8,No,0,1,1,3,1,3,4,0,9,Travel_Rarely,0
EMP00129,23,Male,Human Resources,Human Resources,10,13475,6,2,No,2,3,4,2,1,2,4,8,13,Travel_Rarely,0
EMP00130,22,Female,Research & Development,Manufacturing Director,40,17246,20,9,Yes,3,1,2,3,1,4,4,12,10,Travel_Rarely,0
EMP00131,59,Male,Research & Development,Manager,38,7581,16,5,Yes,3,3,3,4,2,3,4,8,12,Travel_Rarely,0
EMP00132,54,Male,Human Resources,Human Resources,11,19025,1,7,Yes,3,3,1,4,4,2,4,7,8,Travel_Frequently,0
EMP00133,45,Female,Sales,Research Director,38,16703,19,6,No,4,1,3,1,1,2,4,5,1,Travel_Frequently,0
EMP00134,59,Female,Research & Development,Sales Representative,6,1345,4,4,Yes,4,2,4,3,4,4,3,11,0,Travel_Rarely,0
EMP00135,44,Male,Sales,Laboratory Technician,22,11220,11,7,Yes,4,4,3,4,1,4,4,10,2,Travel_Rarely,0
EMP00136,25,Male,Research & Development,Research Scientist,10,8992,17,2,Yes,2,4,4,2,4,2,3,13,12,Non-Travel,0
EMP00137,30,Female,Human Resources,Sales Representative,24,1145,23,3,Yes,2,1,1,2,3,3,3,14,3,Travel_Rarely,0
EMP00138,49,Female,Human Resources,Sales Representative,39,13862,19,1,No,2,4,2,3,1,2,4,3,7,Travel_Rarely,0
EMP00139,41,Male,Human Resources,Sales Representative,26,5517,19,6,No,1,4,2,2,4,3,3,5,10,Travel_Rarely,0
EMP00140,40,Male,Research & Development,Laboratory Technician,12,13581,18,8,No,3,4,4,4,4,2,3,0,7,Travel_Rarely,0
EMP00141,32,Female,Sales,Research Director,36,17230,18,8,Yes,4,1,3,3,1,4,3,13,3,Travel_Frequently,0
EMP00142,33,Female,Sales,Research Director,16,12422,28,1,No,6,1,2,2,3,4,3,4,6,Non-Travel,0
EMP00143,54,Female,Human Resources,Healthcare Representative,38,18654,6,5,No,2,3,1,2,4,1,4,4,4,Non-Travel,0
EMP00144,38,Male,Human Resources,Sales Representative,31,5658,19,4,No,3,4,1,1,4,3,4,14,15,Travel_Rarely,0
EMP00145,23,Female,Human Resources,Manager,4,18512,13,3,No,6,2,4,3,3,3,4,4,15,Travel_Rarely,0
EMP00146,21,Male,Sales,Research Director,1,5071,28,2,No,3,1,4,2,2,3,3,8,2,Travel_Frequently,0
EMP00147,23,Female,Human Resources,Laboratory Technician,3,13987,21,4,Yes,3,1,1,1,2,4,3,4,7,Travel_Frequently,0
EMP00148,18,Male,Human Resources,Manager,7,14838,23,2,No,0,2,4,1,1,1,4,11,9,Non-Travel,0
EMP00149,26,Male,Sales,Human Resources,36,1277,20,2,No,2,2,2,4,4,2,3,3,4,Non-Travel,0
EMP00150,42,Female,Research & Development,Manager,8,9119,9,1,Yes,4,3,1,3,2,2,4,9,1,Non-Travel,0
EMP00151,25,Male,Research & Development,Research Scientist,33,1395,12,5,Yes,3,4,3,2,4,1,3,2,0,Travel_Rarely,0
EMP00152,21,Female,Human Resources,Healthcare Representative,40,17418,25,6,No,5,4,1,2,3,1,4,2,16,Non-Travel,0
EMP00153,27,Female,Research & Development,Research Scientist,19,15335,24,3,Yes,1,1,4,1,4,1,4,5,3,Non-Travel,0
EMP00154,18,Male,Research & Development,Manager,33,17948,26,4,Yes,2,2,3,1,1,3,4,8,16,Non-Travel,0
EMP00155,54,Male,Research & Development,Research Director,32,12800,2,7,Yes,2,2,3,1,1,2,3,1,0,Non-Travel,0
EMP00156,41,Female,Sales,Laboratory Technician,2,19116,26,6,Yes,2,2,4,3,3,1,4,3,16,Travel_Frequently,0
EMP00157,29,Male,Human Resources,Sales Executive,25,3258,29,7,No,6,3,3,1,4,1,4,6,9,Travel_Frequently,0
EMP00158,57,Male,Research & Development,Manager,37,17166,25,3,Yes,1,1,4,1,2,3,3,10,0,Travel_Frequently,0
EMP00159,37,Male,Sales,Human Resources,15,14756,16,0,Yes,5,3,1,1,2,4,4,14,2,Travel_Frequently,0
EMP00160,26,Female,Sales,Sales Executive,27,5283,8,4,No,6,3,4,3,3,4,4,7,2,Non-Travel,0
EMP00161,55,Male,Sales,Research Scientist,10,15731,15,5,No,0,3,2,4,3,4,4,3,2,Non-Travel,0
EMP00162,37,Male,Sales,Manager,9,3988,23,3,No,3,1,3,3,2,1,4,14,17,Travel_Frequently,0
EMP00163,24,Female,Sales,Laboratory Technician,7,1391,2,3,Yes,1,4,3,1,3,1,3,2,6,Travel_Frequently,0
EMP00164,26,Male,Research & Development,Research Scientist,2,16105,2,2,No,6,4,4,1,4,4,3,11,6,Non-Travel,0
EMP00165,46,Male,Sales,Manufacturing Director,18,17347,14,8,No,0,1,3,4,2,4,3,7,17,Non-Travel,0
EMP00166,40,Female,Human Resources,Research Director,22,19535,17,5,No,2,2,1,3,2,1,4,1,15,Travel_Frequently,0
EMP00167,55,Male,Sales,Research Scientist,15,8902,9,8,Yes,6,2,4,3,2,2,3,10,11,Travel_Frequently,0
EMP00168,40,Male,Human Resources,Manufacturing Director,31,18764,10,2,No,0,1,1,2,2,1,4,0,10,Travel_Frequently,0
EMP00169,26,Female,Human Resources,Laboratory Technician,20,2951,1,2,Yes,6,1,3,1,3,4,3,10,9,Travel_Rarely,0
EMP00170,28,Female,Human Resources,Research Director,20,6708,23,8,No,1,2,4,3,3,2,3,0,12,Travel_Frequently,0
EMP00171,56,Female,Human Resources,Manufacturing Director,40,19531,4,7,Yes,2,1,2,3,3,2,3,10,14,Non-Travel,0
EMP00172,33,Male,Research & Development,Healthcare Representative,6,1041,2,6,No,5,4,2,4,4,4,4,12,3,Travel_Rarely,0
EMP00173,54,Male,Sales,Research Director,4,2094,10,0,No,2,1,1,3,2,4,3,2,17,Non-Travel,0
EMP00174,57,Female,Human Resources,Sales Executive,27,6406,20,6,Yes,0,1,3,2,2,4,4,9,9,Non-Travel,0
EMP00175,43,Female,Sales,Sales Executive,23,1125,14,1,No,6,4,2,1,1,2,3,9,2,Travel_Rarely,0
EMP00176,37,Female,Research & Development,Research Director,16,3986,21,8,No,1,3,4,3,2,4,3,8,14,Travel_Rarely,0
EMP00177,35,Male,Sales,Research Scientist,5,12265,26,8,No,6,2,1,4,4,4,3,15,9,Non-Travel,0
EMP00178,20,Male,Sales,Research Director,11,6477,7,3,Yes,0,4,1,4,2,2,4,10,2,Non-Travel,0
EMP00179,43,Female,Research & Development,Human Resources,29,1405,26,9,No,0,4,2,2,1,1,3,9,17,Travel_Rarely,0
EMP00180,34,Female,Human Resources,Research Director,36,16500,2,2,No,3,2,4,1,4,3,3,1,15,Travel_Rarely,0
EMP00181,19,Female,Research & Development,Healthcare Representative,17,17109,28,1,Yes,1,3,4,3,3,4,3,6,14,Non-Travel,0
EMP00182,44,Female,Human Resources,Manager,3,17884,26,2,Yes,2,4,2,1,2,2,3,1,7,Non-Travel,0
EMP00183,41,Male,Research & Development,Manager,29,17551,13,1,Yes,1,3,4,4,2,4,4,11,5,Travel_Rarely,0
EMP00184,23,Female,Sales,Sales Representative,3,6338,28,9,Yes,6,2,2,2,3,4,3,0,15,Non-Travel,0
EMP00185,56,Male,Sales,Healthcare Representative,38,11009,23,4,No,3,3,4,3,2,4,4,12,3,Non-Travel,0
EMP00186,60,Female,Human Resources,Healthcare Representative,19,4542,16,1,No,2,3,3,3,3,2,3,7,1,Travel_Frequently,0
EMP00187,38,Male,Human Resources,Sales Executive,31,10686,9,6,No,3,1,2,3,2,4,4,9,5,Travel_Frequently,0
EMP00188,29,Female,Sales,Research Director,8,9475,24,8,Yes,5,3,1,2,3,2,4,13,10,Travel_Rarely,0
EMP00189,36,Female,Sales,Research Director,3,3333,16,3,Yes,6,4,3,4,1,2,3,6,10,Travel_Rarely,0
EMP00190,47,Male,Research & Development,Laboratory Technician,5,16977,11,2,No,5,1,1,4,3,2,3,5,15,Non-Travel,0
EMP00191,45,Female,Research & Development,Sales Representative,30,13560,1,0,Yes,5,3,1,3,2,1,3,7,7,Travel_Frequently,0
EMP00192,37,Male,Sales,Sales Representative,32,11030,6,1,Yes,2,3,4,3,4,2,4,15,11,Non-Travel,0
EMP00193,43,Male,Sales,Manufacturing Director,8,7920,24,0,Yes,0,3,1,4,3,1,3,3,0,Non-Travel,0
EMP00194,44,Female,Research & Development,Research Scientist,35,9281,16,2,Yes,5,1,3,4,1,3,3,13,3,Travel_Frequently,0
EMP00195,25,Female,Sales,Research Scientist,31,7509,20,3,No,6,2,3,4,3,2,3,15,6,Travel_Frequently,0
EMP00196,39,Male,Sales,Sales Executive,5,4618,27,9,No,1,1,1,1,3,2,4,9,8,Travel_Rarely,1
EMP00197,29,Male,Research & Development,Manager,20,14959,24,1,Yes,6,1,1,2,2,3,4,14,8,Travel_Frequently,0
EMP00198,39,Male,Sales,Sales Representative,25,15959,9,6,No,6,4,2,1,2,1,3,3,13,Travel_Frequently,0
EMP00199,54,Female,Sales,Sales Representative,22,1944,28,2,No,3,1,4,4,1,1,4,10,0,Travel_Frequently,0
EMP00200,51,Male,Human Resources,Manager,33,18141,23,9,Yes,3,2,4,3,4,2,3,0,5,Travel_Frequently,0
EMP00201,49,Male,Sales,Research Director,20,8893,11,4,Yes,4,2,4,4,2,1,4,14,14,Non-Travel,0
EMP00202,46,Female,Sales,Research Director,1,4363,13,6,Yes,4,1,1,3,2,4,4,11,1,Non-Travel,0
EMP00203,39,Female,Human Resources,Manager,28,4736,4,3,Yes,2,3,3,3,1,1,3,15,4,Travel_Frequently,0
EMP00204,44,Male,Research & Development,Manufacturing Director,12,4956,28,6,Yes,3,2,3,1,4,1,3,14,14,Travel_Frequently,0
EMP00205,50,Male,Research & Development,Sales Executive,33,2591,18,6,No,4,2,2,2,1,4,4,12,13,Travel_Frequently,0
EMP00206,33,Female,Research & Development,Manager,18,15838,26,2,Yes,3,3,3,2,2,2,4,11,4,Travel_Frequently,0
EMP00207,29,Female,Human Resources,Research Scientist,22,19424,16,9,No,5,3,4,1,1,1,4,4,1,Travel_Frequently,0
EMP00208,35,Male,Research & Development,Healthcare Representative,9,3032,23,4,Yes,6,1,3,4,1,2,4,7,16,Travel_Frequently,0
EMP00209,60,Male,Research & Development,Sales Representative,26,11245,18,0,Yes,5,3,2,4,2,3,3,6,9,Travel_Rarely,0
EMP00210,22,Male,Sales,Human Resources,7,13360,2,6,No,4,3,2,2,3,1,4,14,4,Non-Travel,0
EMP00211,38,Male,Human Resources,Healthcare Representative,31,19765,18,5,Yes,6,3,2,2,1,2,4,12,2,Travel_Rarely,0
EMP00212,31,Female,Research & Development,Manager,18,8158,25,9,No,4,1,1,3,4,2,3,1,10,Travel_Rarely,0
EMP00213,25,Female,Research & Development,Human Resources,18,1809,17,5,No,3,1,3,2,3,1,3,5,17,Travel_Frequently,1
EMP00214,22,Male,Human Resources,Manufacturing Director,27,4405,7,8,No,5,1,2,1,4,3,3,2,2,Non-Travel,0
